,S42AA,S43AA,S44AA,S45AA,S46AA,S47AA,S48AA,S49AA,S50AA,S51AA,S52AA,S53AA,S54AA,S55AA,S56AA,S57AA,S58AA,S59AA,S60AA,S61AA,S62AA,S63AA,S64AA,S65AA
16S_1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30900000,239852000,0,0,23267000,0,243960000,45630000
16S_107,53630000,0,368480000,0,0,0,53690000,161880000,26482500,21210000,60190000,0,178285000,105730000,7950000,470820000,544355000,2074130000,766160000,832930000,417489000,97484500,2984520000,83655000
16S_1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29870000,222649500,0,0,24584000,0,256880000,36335000
16S_1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23175000,202498000,0,0,16243000,0,263720000,21970000
16S_112,53630000,0,338240000,0,0,0,60180000,151620000,28408500,37370000,71302000,39655000,132975000,73030000,7950000,398840000,460925000,1910460500,622505000,775260000,378857000,91012500,2777800000,88725000
16S_1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35020000,182346500,0,0,14926000,0,234840000,31265000
16S_1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25750000,221175000,0,0,11853000,0,201400000,27885000
16S_117,36330000,0,3.64E+08,0,0,0,69030000,161880000,26964000,27270000,69913000,0,141840000,91560000,10600000,459020000,506760000,1805279500,618580000,690580000,392905000,90203500,2751200000,59150000
16S_1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21115000,226090000,0,0,25023000,0,241680000,46475000
16S_1223,0,27600000,5.60E+07,52140000,0,0,0,25650000,41409000,34845000,0,0,89635000,57770000,0,0,0,0,0,0,0,0,0,0
16S_125,47575000,0,355040000,0,0,0,57230000,193230000,16852500,26765000,70839000,0,142825000,82840000,7950000,393530000,510365000,1659304000,551070000,654810000,365248000,76046000,2638720000,107315000
16S_1269,0,0,59360000,53325000,0,53125000,0,0,65002500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16S_1272,73525000,28520000,47040000,49770000,0,48750000,0,31920000,18297000,0,0,0,174345000,62130000,0,0,0,0,0,0,0,0,0,0
16S_1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24720000,149907500,0,0,8780000,0,234840000,5915000
16S_1312,0,37720000,40320000,67545000,0,70625000,0,23940000,35149500,0,0,0,139870000,31610000,0,0,0,0,0,0,0,0,0,0
16S_1331,0,0,45920000,23700000,0,42500000,0,0,65965500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16S_1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10600000,0,27810000,0,0,35040000,0,0,42560000,0
16S_147,36330000,0,319200000,0,0,0,43070000,116850000,26482500,23230000,50004000,0,120170000,82840000,8480000,334530000,438265000,1448450500,455300000,546770000,294130000,63911000,2203240000,76895000
