Class,Relative,Sample,Microcosms
Acidimicrobiia,0.060287888,S37,Control
Actinobacteria,1.558415229,S37,Control
Thermoleophilia,0.107504508,S37,Control
Alphaproteobacteria,5.664660627,S37,Control
Deltaproteobacteria,1.191886211,S37,Control
Gammaproteobacteria,25.58687325,S37,Control
Campylobacteria,53.43480905,S37,Control
Bacteroidia,2.32215073,S37,Control
Verrucomicrobiae,0.142450142,S37,Control
Parcubacteria,0.110438874,S37,Control
Gracilibacteria,9.643927996,S37,Control
Other,0.176595495,S37,Control
Acidimicrobiia,0.114707044,S38,Control
Actinobacteria,0.738393248,S38,Control
Thermoleophilia,0.081895494,S38,Control
Alphaproteobacteria,6.705026836,S38,Control
Deltaproteobacteria,3.378522573,S38,Control
Gammaproteobacteria,26.20575776,S38,Control
Campylobacteria,53.99553976,S38,Control
Bacteroidia,1.762487062,S38,Control
Verrucomicrobiae,0.177929298,S38,Control
Parcubacteria,0.082429015,S38,Control
Gracilibacteria,6.576981764,S38,Control
Other,0.180330143,S38,Control
Acidimicrobiia,0.027743099,S39,Control
Actinobacteria,0.382801413,S39,Control
Thermoleophilia,0.036012676,S39,Control
Alphaproteobacteria,3.099491021,S39,Control
Deltaproteobacteria,0.876575221,S39,Control
Gammaproteobacteria,12.34701282,S39,Control
Campylobacteria,75.34252057,S39,Control
Bacteroidia,3.351312996,S39,Control
Verrucomicrobiae,0.073625916,S39,Control
Parcubacteria,0.025342254,S39,Control
Gracilibacteria,4.353799204,S39,Control
Other,0.083762818,S39,Control
Acidimicrobiia,0.070158029,S40,Control
Actinobacteria,0.301172679,S40,Control
Thermoleophilia,0.072825635,S40,Control
Alphaproteobacteria,8.546741786,S40,Control
Deltaproteobacteria,0.42388254,S40,Control
Gammaproteobacteria,31.71756458,S40,Control
Campylobacteria,50.48310339,S40,Control
Bacteroidia,5.021767662,S40,Control
Verrucomicrobiae,0.110172114,S40,Control
Parcubacteria,0.020540564,S40,Control
Gracilibacteria,3.116030176,S40,Control
Other,0.116040846,S40,Control
Acidimicrobiia,0.024275212,S41,Control
Actinobacteria,0.190200284,S41,Control
Thermoleophilia,0.037079719,S41,Control
