,Grouping
16S_1037,CyanoGr
16S_107,CyanoGr
16S_1100,CyanoGr
16S_1101,CyanoGr
16S_112,CyanoGr
16S_1138,CyanoGr
16S_1169,CyanoGr
16S_117,CyanoGr
16S_1181,CyanoGr
16S_1223,DiatomGr
16S_125,CyanoGr
16S_1269,DiatomGr
16S_1272,DiatomGr
16S_1280,CyanoGr
16S_1312,DiatomGr
16S_1331,DiatomGr
16S_1360,CyanoGr
16S_147,CyanoGr
16S_152,CyanoGr
16S_1523,CyanoGr
16S_156,CyanoGr
16S_1588,CyanoGr
16S_162,CyanoGr
16S_1622,DiatomGr
16S_1654,CyanoGr
16S_167,CyanoGr
16S_17,DiatomGr
16S_172,CyanoGr
16S_1770,DiatomGr
16S_178,CyanoGr
16S_179,CyanoGr
16S_18,DiatomGr
16S_1824,CyanoGr
16S_1865,DiatomGr
16S_19,DiatomGr
16S_1900,CyanoGr
16S_1933,CyanoGr
16S_20,DiatomGr
16S_2029,CyanoGr
16S_204,CyanoGr
16S_2053,DiatomGr
16S_206,CyanoGr
16S_2099,CyanoGr
16S_21,DiatomGr
16S_2110,CyanoGr
16S_22,DiatomGr
16S_2242,CyanoGr
16S_229,CyanoGr
16S_23,DiatomGr
16S_231,CyanoGr
16S_24,DiatomGr
16S_2409,CyanoGr
16S_25,DiatomGr
16S_26,DiatomGr
16S_2687,CyanoGr
16S_27,DiatomGr
16S_274,DiatomGr
16S_276,CyanoGr
16S_282,DiatomGr
16S_298,CyanoGr
16S_302,CyanoGr
16S_304,CyanoGr
16S_311,CyanoGr
16S_327,CyanoGr
16S_329,DiatomGr
16S_334,CyanoGr
16S_34,CyanoGr
16S_341,CyanoGr
16S_35,CyanoGr
16S_354,DiatomGr
16S_359,DiatomGr
16S_364,DiatomGr
16S_37,CyanoGr
16S_374,DiatomGr
16S_38,CyanoGr
16S_389,CyanoGr
16S_390,DiatomGr
16S_406,CyanoGr
16S_416,CyanoGr
16S_421,CyanoGr
16S_449,CyanoGr
16S_460,CyanoGr
16S_465,CyanoGr
16S_48,CyanoGr
16S_51,CyanoGr
16S_520,CyanoGr
16S_53,CyanoGr
16S_59,CyanoGr
16S_60,CyanoGr
16S_63,CyanoGr
16S_666,CyanoGr
16S_68,CyanoGr
16S_69,CyanoGr
16S_836,CyanoGr
16S_857,CyanoGr
16S_879,CyanoGr
16S_897,CyanoGr
16S_945,CyanoGr
16S_950,CyanoGr
16S_995,CyanoGr
