Family,Relative,Microcosms,Sample
Mycobacteriaceae,0.327581976,Control,S37
Sporichthyaceae,1.027828462,Control,S37
Caulobacteraceae,0.152053523,Control,S37
Rhodobacteraceae,4.423957233,Control,S37
SAR11_Clade III,0.710383388,Control,S37
Bacteriovoracaceae,1.190018887,Control,S37
Moraxellaceae,0.6500955,Control,S37
Methylophagaceae,12.54975085,Control,S37
Pseudomonadaceae,1.178014661,Control,S37
Nitrincolaceae,1.160408464,Control,S37
Porticoccaceae,0.147785354,Control,S37
Saccharospirillaceae,0.45215916,Control,S37
Colwelliaceae,1.681125089,Control,S37
Burkholderiaceae,7.07902515,Control,S37
Arcobacteraceae,53.34117609,Control,S37
Crocinitomicaceae,0.076827043,Control,S37
NS11-12 marine group,0,Control,S37
Flavobacteriaceae,2.167696362,Control,S37
JGI 0000069-P22 order,9.636992221,Control,S37
Other,2.047120587,Control,S37
Mycobacteriaceae,0.335584793,Control,S38
Sporichthyaceae,0.375332117,Control,S38
Caulobacteraceae,0.149385917,Control,S38
Rhodobacteraceae,5.720146825,Control,S38
SAR11_Clade III,0.281165637,Control,S38
Bacteriovoracaceae,3.374521165,Control,S38
Moraxellaceae,0.059487606,Control,S38
Methylophagaceae,11.68864774,Control,S38
Pseudomonadaceae,0.633022824,Control,S38
Nitrincolaceae,2.440859182,Control,S38
Porticoccaceae,0,Control,S38
Saccharospirillaceae,0.9606048,Control,S38
Colwelliaceae,0.680772965,Control,S38
Burkholderiaceae,9.283534471,Control,S38
Arcobacteraceae,53.76959356,Control,S38
Crocinitomicaceae,0.099768452,Control,S38
NS11-12 marine group,0.038146761,Control,S38
Flavobacteriaceae,1.328467621,Control,S38
JGI 0000069-P22 order,6.576981764,Control,S38
Other,2.203975797,Control,S38
Mycobacteriaceae,0.163524227,Control,S39
Sporichthyaceae,0.158455776,Control,S39
Caulobacteraceae,0.124310424,Control,S39
Rhodobacteraceae,2.754302848,Control,S39
SAR11_Clade III,0.073359156,Control,S39
Bacteriovoracaceae,0.87150677,Control,S39
Moraxellaceae,0.047750141,Control,S39
Methylophagaceae,2.883948483,Control,S39
Pseudomonadaceae,0.283833243,Control,S39
Nitrincolaceae,3.658087647,Control,S39
Porticoccaceae,0.205939157,Control,S39
Saccharospirillaceae,0.467097752,Control,S39
Colwelliaceae,1.087049308,Control,S39
Burkholderiaceae,3.125366796,Control,S39
Arcobacteraceae,75.22301183,Control,S39
Crocinitomicaceae,0.043481972,Control,S39
NS11-12 marine group,0.64049212,Control,S39
Flavobacteriaceae,2.532624817,Control,S39
JGI 0000069-P22 order,4.352198641,Control,S39
Other,1.303658887,Control,S39
Mycobacteriaceae,0.172594086,Control,S40
Sporichthyaceae,0.128578593,Control,S40
Caulobacteraceae,0.040280846,Control,S40
Rhodobacteraceae,8.327464601,Control,S40
SAR11_Clade III,0.116574368,Control,S40
Bacteriovoracaceae,0.41934761,Control,S40
Moraxellaceae,0.510312963,Control,S40
Methylophagaceae,14.66062721,Control,S40
Pseudomonadaceae,0.773872403,Control,S40
Nitrincolaceae,2.95330623,Control,S40
Porticoccaceae,0.055752958,Control,S40
Saccharospirillaceae,0.778140572,Control,S40
Colwelliaceae,0.739727051,Control,S40
Burkholderiaceae,10.99400322,Control,S40
Arcobacteraceae,50.40014085,Control,S40
Crocinitomicaceae,0.088564508,Control,S40
NS11-12 marine group,0.189400002,Control,S40
Flavobacteriaceae,4.659240052,Control,S40
JGI 0000069-P22 order,3.116030176,Control,S40
Other,0.876041698,Control,S40
Mycobacteriaceae,0.129645635,Control,S41
Sporichthyaceae,0.039480564,Control,S41
Caulobacteraceae,0.1224431,Control,S41
Rhodobacteraceae,5.130872734,Control,S41
SAR11_Clade III,0.028543381,Control,S41
Bacteriovoracaceae,0.843763671,Control,S41
Moraxellaceae,0,Control,S41
Methylophagaceae,5.04897724,Control,S41
Pseudomonadaceae,0.345188173,Control,S41
Nitrincolaceae,0.554328457,Control,S41
Porticoccaceae,0.006669014,Control,S41
Saccharospirillaceae,0.234215777,Control,S41
Colwelliaceae,0.836027615,Control,S41
Burkholderiaceae,8.017488823,Control,S41
Arcobacteraceae,73.91775238,Control,S41
Crocinitomicaceae,0.159789579,Control,S41
NS11-12 marine group,0.091498874,Control,S41
Flavobacteriaceae,1.067842547,Control,S41
JGI 0000069-P22 order,1.857720584,Control,S41
Other,1.567751853,Control,S41
Mycobacteriaceae,0.04721662,100D,S42
Sporichthyaceae,0.610081415,100D,S42
Caulobacteraceae,0.262492397,100D,S42
Rhodobacteraceae,3.558852716,100D,S42
SAR11_Clade III,0.431085075,100D,S42
Bacteriovoracaceae,4.527460333,100D,S42
Moraxellaceae,1.271380859,100D,S42
Methylophagaceae,24.96372056,100D,S42
Pseudomonadaceae,0.326248173,100D,S42
Nitrincolaceae,3.820011311,100D,S42
Porticoccaceae,0,100D,S42
Saccharospirillaceae,0.252889017,100D,S42
Colwelliaceae,0.344387891,100D,S42
Burkholderiaceae,14.27115678,100D,S42
Arcobacteraceae,24.53530309,100D,S42
Crocinitomicaceae,0.118174931,100D,S42
NS11-12 marine group,0.343320849,100D,S42
Flavobacteriaceae,8.224495022,100D,S42
JGI 0000069-P22 order,10.07661363,100D,S42
Other,2.015109314,100D,S42
Mycobacteriaceae,0.026409296,100D,S43
Sporichthyaceae,0.079227888,100D,S43
Caulobacteraceae,0.028810141,100D,S43
Rhodobacteraceae,1.543209877,100D,S43
SAR11_Clade III,0.11310648,100D,S43
Bacteriovoracaceae,0.383868455,100D,S43
Moraxellaceae,0.332383666,100D,S43
Methylophagaceae,17.6446109,100D,S43
Pseudomonadaceae,0.27769775,100D,S43
Nitrincolaceae,1.082247618,100D,S43
Porticoccaceae,0.053618874,100D,S43
Saccharospirillaceae,0.1413831,100D,S43
Colwelliaceae,0.9984848,100D,S43
Burkholderiaceae,6.036258096,100D,S43
Arcobacteraceae,61.35786464,100D,S43
Crocinitomicaceae,0.025875775,100D,S43
NS11-12 marine group,0.014405071,100D,S43
Flavobacteriaceae,6.742640076,100D,S43
JGI 0000069-P22 order,2.104474108,100D,S43
Other,1.013423389,100D,S43
Mycobacteriaceae,0.118975213,100D,S44
Sporichthyaceae,0.469498597,100D,S44
Caulobacteraceae,0.079494649,100D,S44
Rhodobacteraceae,4.019281454,100D,S44
SAR11_Clade III,0.328115497,100D,S44
Bacteriovoracaceae,2.884215244,100D,S44
Moraxellaceae,0.283833243,100D,S44
Methylophagaceae,11.5942145,100D,S44
Pseudomonadaceae,0.644493528,100D,S44
Nitrincolaceae,2.37363552,100D,S44
Porticoccaceae,0,100D,S44
Saccharospirillaceae,3.838951311,100D,S44
Colwelliaceae,0.171260284,100D,S44
Burkholderiaceae,7.251352476,100D,S44
Arcobacteraceae,40.76181483,100D,S44
Crocinitomicaceae,0.028543381,100D,S44
NS11-12 marine group,0.024275212,100D,S44
Flavobacteriaceae,0.364128173,100D,S44
