Class,Abundance,Microcosms,Phase
Acidimicrobiia,1.793094073,Sed_D0,Sediment
Actinobacteria,0.485318108,Sed_D0,Sediment
Alphaproteobacteria,0.278684067,Sed_D0,Sediment
Deltaproteobacteria,1.843393147,Sed_D0,Sediment
Gammaproteobacteria,2.039831431,Sed_D0,Sediment
Bacteroidia,0.401033171,Sed_D0,Sediment
Campylobacteria,0.555328985,Sed_D0,Sediment
Clostridia,0,Sed_D0,Sediment
Gracilibacteria,0,Sed_D0,Sediment
Nitrospira,0.430261012,Sed_D0,Sediment
Oxyphotobacteria,3.136215336,Sed_D0,Sediment
Other,0.169929308,Sed_D0,Sediment
Acidimicrobiia,1.035209352,Sed_Control,Sediment
Actinobacteria,0.336460031,Sed_Control,Sediment
Alphaproteobacteria,0.044181621,Sed_Control,Sediment
Deltaproteobacteria,1.039967373,Sed_Control,Sediment
Gammaproteobacteria,7.51155519,Sed_Control,Sediment
Bacteroidia,0.205274606,Sed_Control,Sediment
Campylobacteria,31.18882545,Sed_Control,Sediment
Clostridia,0,Sed_Control,Sediment
Gracilibacteria,0.69603045,Sed_Control,Sediment
Nitrospira,0.501631322,Sed_Control,Sediment
Oxyphotobacteria,1.035889069,Sed_Control,Sediment
Other,0.084964655,Sed_Control,Sediment
Acidimicrobiia,0.776237085,Sed100D,Sediment
Actinobacteria,0.179445351,Sed100D,Sediment
Alphaproteobacteria,0.146139205,Sed100D,Sediment
Deltaproteobacteria,1.525965199,Sed100D,Sediment
Gammaproteobacteria,6.407014687,Sed100D,Sediment
Bacteroidia,0.562126156,Sed100D,Sediment
Campylobacteria,23.48083197,Sed100D,Sediment
Clostridia,0.30519304,Sed100D,Sediment
Gracilibacteria,0.606987493,Sed100D,Sediment
Nitrospira,0.33713975,Sed100D,Sediment
Oxyphotobacteria,0.926454597,Sed100D,Sediment
Other,0.082245785,Sed100D,Sediment
Acidimicrobiia,0.785073409,Sed80D_20C,Sediment
Actinobacteria,0.149537792,Sed80D_20C,Sediment
Alphaproteobacteria,0.148178358,Sed80D_20C,Sediment
Deltaproteobacteria,1.268352367,Sed80D_20C,Sediment
Gammaproteobacteria,4.958537245,Sed80D_20C,Sediment
Bacteroidia,0.318107667,Sed80D_20C,Sediment
Campylobacteria,35.5716422,Sed80D_20C,Sediment
Clostridia,0,Sed80D_20C,Sediment
Gracilibacteria,0.968597062,Sed80D_20C,Sediment
Nitrospira,0.49211528,Sed80D_20C,Sediment
Oxyphotobacteria,0.918977704,Sed80D_20C,Sediment
Other,0.084964656,Sed80D_20C,Sediment
Acidimicrobiia,0.727297444,Sed50D_50C,Sediment
Actinobacteria,0.120309951,Sed50D_50C,Sediment
Alphaproteobacteria,0.167890158,Sed50D_50C,Sediment
Deltaproteobacteria,1.141245241,Sed50D_50C,Sediment
Gammaproteobacteria,4.876291463,Sed50D_50C,Sediment
Bacteroidia,0.089042959,Sed50D_50C,Sediment
Campylobacteria,36.47634584,Sed50D_50C,Sediment
Clostridia,0.008836324,Sed50D_50C,Sediment
Gracilibacteria,0.974034801,Sed50D_50C,Sediment
Nitrospira,0.250815661,Sed50D_50C,Sediment
Oxyphotobacteria,0.90742251,Sed50D_50C,Sediment
Other,0.134584012,Sed50D_50C,Sediment
Acidimicrobiia,0.877514955,Sed20D_80C,Sediment
Actinobacteria,0.227705274,Sed20D_80C,Sediment
Alphaproteobacteria,0.337819468,Sed20D_80C,Sediment
Deltaproteobacteria,1.035889068,Sed20D_80C,Sediment
Gammaproteobacteria,5.505709627,Sed20D_80C,Sediment
Bacteroidia,0.415986944,Sed20D_80C,Sediment
Campylobacteria,25.01631321,Sed20D_80C,Sediment
Clostridia,0.008836324,Sed20D_80C,Sediment
Gracilibacteria,0.872756935,Sed20D_80C,Sediment
Nitrospira,0.26576944,Sed20D_80C,Sediment
Oxyphotobacteria,1.234366504,Sed20D_80C,Sediment
Other,0.135943448,Sed20D_80C,Sediment
Acidimicrobiia,0.735454052,Sed100C,Sediment
Actinobacteria,0.222947253,Sed100C,Sediment
Alphaproteobacteria,0.197117999,Sed100C,Sediment
Deltaproteobacteria,0.961120174,Sed100C,Sediment
Gammaproteobacteria,5.684475265,Sed100C,Sediment
Bacteroidia,0.411908647,Sed100C,Sediment
Campylobacteria,40.78507341,Sed100C,Sediment
Clostridia,0,Sed100C,Sediment
Gracilibacteria,0.757205004,Sed100C,Sediment
Nitrospira,0.199836867,Sed100C,Sediment
Oxyphotobacteria,0.906063078,Sed100C,Sediment
Other,0.078167482,Sed100C,Sediment
Acidimicrobiia,0.001387155,Wat_Control,Water
Actinobacteria,0.185451947,Wat_Control,Water
Alphaproteobacteria,0.783849248,Wat_Control,Water
Deltaproteobacteria,0.383655046,Wat_Control,Water
Gammaproteobacteria,13.20432792,Wat_Control,Water
Bacteroidia,0.220717692,Wat_Control,Water
Campylobacteria,60.84365697,Wat_Control,Water
Clostridia,0,Wat_Control,Water
Gracilibacteria,4.181845343,Wat_Control,Water
Nitrospira,0.000800282,Wat_Control,Water
Oxyphotobacteria,0.053565521,Wat_Control,Water
Other,0.023581636,Wat_Control,Water
Acidimicrobiia,0.036946338,Wat100D,Water
Actinobacteria,0.05555289,Wat100D,Water
Alphaproteobacteria,0.595209518,Wat100D,Water
Deltaproteobacteria,0.452759377,Wat100D,Water
Gammaproteobacteria,19.94115264,Wat100D,Water
Bacteroidia,1.23230044,Wat100D,Water
Campylobacteria,50.51858255,Wat100D,Water
Clostridia,0.05648655,Wat100D,Water
Gracilibacteria,6.468810359,Wat100D,Water
Nitrospira,0.003601268,Wat100D,Water
Oxyphotobacteria,0.017072678,Wat100D,Water
Other,0.014938593,Wat100D,Water
Acidimicrobiia,0.003414535,Wat80D_20C,Water
Actinobacteria,0.069357748,Wat80D_20C,Water
Alphaproteobacteria,0.774032461,Wat80D_20C,Water
Deltaproteobacteria,1.259376632,Wat80D_20C,Water
Gammaproteobacteria,12.83358408,Wat80D_20C,Water
Bacteroidia,0.403075214,Wat80D_20C,Water
Campylobacteria,56.60648548,Wat80D_20C,Water
Clostridia,0,Wat80D_20C,Water
Gracilibacteria,5.153067214,Wat80D_20C,Water
Nitrospira,0.000640225,Wat80D_20C,Water
Oxyphotobacteria,0.007255888,Wat80D_20C,Water
Other,0.008429634,Wat80D_20C,Water
Acidimicrobiia,0,Wat50D_50C,Water
Actinobacteria,0.111185804,Wat50D_50C,Water
Alphaproteobacteria,0.497241696,Wat50D_50C,Water
