Number,Sample,Value,Time,Treatment,log,Nutrient
1,CTR-1,1.18,T0,Control,0.071882007,NH
2,CTR-2,0.225,T0,Control,-0.647817482,NH
3,CTR-3,3,T0,Control,0.477121255,NH
4,CTR-4,10.3,T0,Control,1.012837225,NH
5,CTR-5,0.16,T0,Control,-0.795880017,NH
6,100D-1,2.11,T0,100D,0.324282455,NH
7,100D-2,5,T0,100D,0.698970004,NH
8,100D-3,3.17,T0,100D,0.501059262,NH
9,100D-4,0.84,T0,100D,-0.075720714,NH
10,100D-5,4.51,T0,100D,0.654176542,NH
11,80D_20C-1,0.222,T0,80D_20C,-0.653647026,NH
12,80D_20C-2,1.17,T0,80D_20C,0.068185862,NH
13,80D_20C-3,3.8,T0,80D_20C,0.579783597,NH
14,80D_20C-4,6.05,T0,80D_20C,0.781755375,NH
15,80D_20C-5,4.87,T0,80D_20C,0.687528961,NH
16,50D_50C-1,4.78,T0,50D_50C,0.679427897,NH
17,50D_50C-2,6.8,T0,50D_50C,0.832508913,NH
18,50D_50C-3,1.24,T0,50D_50C,0.093421685,NH
19,50D_50C-4,0.488,T0,50D_50C,-0.311580178,NH
20,50D_50C-5,4.36,T0,50D_50C,0.639486489,NH
21,20D_80C-1,8.11,T0,20D_80C,0.909020854,NH
22,20D_80C-2,2.65,T0,20D_80C,0.423245874,NH
23,20D_80C-3,1.45,T0,20D_80C,0.161368002,NH
24,20D_80C-4,5.75,T0,20D_80C,0.759667845,NH
25,20D_80C-5,7.69,T0,20D_80C,0.88592634,NH
26,100C-1,2.91,T0,100C,0.463892989,NH
27,100C-2,8.68,T0,100C,0.938519725,NH
28,100C-3,2.91,T0,100C,0.463892989,NH
29,100C-4,4.34,T0,100C,0.63748973,NH
30,100C-5,5.53,T0,100C,0.742725131,NH
31,CTR-1,0.234,Tf,Control,-0.630784143,NH
32,CTR-2,0.176,Tf,Control,-0.754487332,NH
33,CTR-3,0.24,Tf,Control,-0.619788758,NH
34,CTR-4,0.253,Tf,Control,-0.596879479,NH
35,CTR-5,0.148,Tf,Control,-0.829738285,NH
36,100D-1,0.285,Tf,100D,-0.54515514,NH
37,100D-2,0.222,Tf,100D,-0.653647026,NH
38,100D-3,0.0954,Tf,100D,-1.020451625,NH
39,100D-4,7.36,Tf,100D,0.866877814,NH
40,100D-5,0.139,Tf,100D,-0.8569852,NH
41,80D_20C-1,0.268,Tf,80D_20C,-0.571865206,NH
42,80D_20C-2,0.129,Tf,80D_20C,-0.88941029,NH
43,80D_20C-3,0.11,Tf,80D_20C,-0.958607315,NH
44,80D_20C-4,0.098,Tf,80D_20C,-1.008773924,NH
45,80D_20C-5,0.0848,Tf,80D_20C,-1.071604148,NH
46,50D_50C-1,2.3,Tf,50D_50C,0.361727836,NH
47,50D_50C-2,2.95,Tf,50D_50C,0.469822016,NH
48,50D_50C-3,0.103,Tf,50D_50C,-0.987162775,NH
49,50D_50C-4,0.126,Tf,50D_50C,-0.899629455,NH
50,50D_50C-5,0.0843,Tf,50D_50C,-1.074172425,NH
