,S42RA,S43RA,S44RA,S45RA,S46RA,S47RA,S48RA,S49RA,S50RA,S51RA,S52RA,S53RA,S54RA,S55RA,S56RA,S57RA,S58RA,S59RA,S60RA,S61RA,S62RA,S63RA,S64RA,S65RA
16S_1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,244,0,0,26.5,0,160.5,27
16S_107,31,0,164.5,0,0,0,45.5,142,27.5,21,65,0,90.5,48.5,7.5,399,528.5,2110,488,570.5,475.5,120.5,1963.5,49.5
16S_1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,226.5,0,0,28,0,169,21.5
16S_1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,206,0,0,18.5,0,173.5,13
16S_112,31,0,151,0,0,0,51,133,29.5,37,77,38.5,67.5,33.5,7.5,338,447.5,1943.5,396.5,531,431.5,112.5,1827.5,52.5
16S_1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,185.5,0,0,17,0,154.5,18.5
16S_1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,225,0,0,13.5,0,132.5,16.5
16S_117,21,0,162.5,0,0,0,58.5,142,28,27,75.5,0,72,42,10,389,492,1836.5,394,473,447.5,111.5,1810,35
16S_1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,230,0,0,28.5,0,159,27.5
16S_1223,0,15,25,22,0,0,0,22.5,43,34.5,0,0,45.5,26.5,0,0,0,0,0,0,0,0,0,0
16S_125,27.5,0,158.5,0,0,0,48.5,169.5,17.5,26.5,76.5,0,72.5,38,7.5,333.5,495.5,1688,351,448.5,416,94,1736,63.5
16S_1269,0,0,26.5,22.5,0,42.5,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16S_1272,42.5,15.5,21,21,0,39,0,28,19,0,0,0,88.5,28.5,0,0,0,0,0,0,0,0,0,0
16S_1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,152.5,0,0,10,0,154.5,3.5
16S_1312,0,20.5,18,28.5,0,56.5,0,21,36.5,0,0,0,71,14.5,0,0,0,0,0,0,0,0,0,0
16S_1331,0,0,20.5,10,0,34,0,0,68.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16S_1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,27,0,0,24,0,0,28,0
16S_147,21,0,142.5,0,0,0,36.5,102.5,27.5,23,54,0,61,38,8,283.5,425.5,1473.5,290,374.5,335,79,1449.5,45.5
16S_152,27,0,107,14,0,0,40,79,25,27,51,0,68.5,32,14,277.5,370.5,1437,289,360,298.5,71,1353.5,45
16S_1523,0,0,0,0,0,0,0,0,0,0,0,27.5,44,0,0,25.5,34.5,0,22,9.5,24.5,47,15,33.5
16S_156,17.5,0,113,0,0,0,38,126.5,20.5,18.5,49.5,0,46.5,36.5,5.5,234,362.5,1424,311.5,389.5,324.5,75.5,1416.5,35.5
16S_1588,0,0,0,0,0,0,0,0,0,0,0,34.5,0,0,0,4.5,0,36,0,24.5,0,0,43,0
16S_162,27.5,0,124.5,0,0,0,41,97,16.5,23.5,61.5,0,48.5,28,7.5,230,329,1351,250,324,310,72,1272,40
16S_1622,0,13,35,20,0,0,0,15,27,20.5,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0
16S_1654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,63,0,23.5,37.5,39.5,0
16S_167,32.5,0,106,12.5,0,0,42,93.5,17.5,21,30,0,66.5,24,16.5,267,350,1297,240.5,345,328.5,62.5,1297,40
16S_17,4504.5,3975,2096,1154.5,2018,2203,369,1978,3094,631.5,238,764,913,1498.5,136.5,116.5,639,438.5,946,423,704,1441.5,612.5,631
16S_172,22,0,89.5,0,0,0,35.5,104.5,13.5,12.5,59.5,0,64.5,35,7,246,326,1253.5,324,320,299.5,72,1211,32
16S_1770,35.5,0,0,0,0,18,41.5,0,53,0,0,9,0,25,0,0,0,0,0,0,0,0,0,0
