"","OTU","S1","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S2","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S3","S30","S31","S32","S33","S34","S35","S4","S5","S6","S7","S8","S9","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"16S_1","16S_1",0,1638,882,288,780,622,1358,623,269,1736,1452,0,1089,913,676,1580,1528,853,1956,1362,562,1805,0,1499,756,569,437,2439,2357,0,38,1631,1006,2264,1470,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_2","16S_2",0,1246,640,225,595,478,983,506,221,1254,1123,0,844,701,530,1214,1174,608,1457,1069,454,1352,0,1158,669,495,413,2136,2193,83,44,1248,778,1708,1092,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_3","16S_3",61,1256,712,245,651,535,1049,497,214,1357,1151,62,927,758,569,1386,1311,659,1584,1097,444,1450,77,1268,683,533,427,2237,2253,0,15,1329,801,1721,1086,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_4","16S_4",0,1016,527,193,458,406,849,381,196,1085,952,65,705,575,469,1064,907,589,1242,882,371,1149,59,1005,673,494,361,2163,2013,0,18,1082,690,1298,841,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_5","16S_5",0,1253,639,222,543,434,946,484,235,1189,1079,0,805,674,462,1187,1211,607,1477,1054,427,1330,0,1064,583,449,330,1799,1764,0,0,1151,691,1616,996,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_6","16S_6",0,926,499,190,436,349,788,351,151,938,796,0,651,558,377,974,868,488,1068,772,367,1110,0,917,547,436,299,1772,1756,0,28,920,571,1232,734,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_7","16S_7",0,701,401,160,344,301,606,265,141,758,674,0,471,365,291,778,737,342,901,580,310,841,0,714,495,334,285,1588,1565,0,28,691,448,906,607,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_8","16S_8",0,1106,634,192,578,437,932,446,196,1180,1023,0,726,635,495,1122,1077,595,1338,922,392,1197,0,1059,505,392,327,1662,1612,0,0,1113,728,1505,904,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_9","16S_9",0,801,443,157,440,357,722,344,159,908,815,0,577,492,384,877,900,429,1070,730,336,918,0,896,529,397,319,1561,1472,0,0,885,543,1222,719,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_10","16S_10",0,894,460,180,447,353,720,314,155,935,760,0,592,439,374,916,838,450,1029,691,299,990,0,897,486,382,292,1601,1551,0,0,871,549,1121,728,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_11","16S_11",0,808,442,157,407,360,649,311,161,828,781,0,569,479,309,839,758,450,946,674,304,938,0,750,408,322,265,1445,1342,0,0,796,491,1103,698,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
