,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65
16S_1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016005634,0.130179156,0,0,0.01413831,0,0.085630142,0.014405071
16S_107,0.016539155,0,0.087764226,0,0,0,0.024275212,0.075760001,0.014671831,0.011203944,0.034678874,0,0.048283663,0.025875775,0.004001408,0.212874932,0.281965919,1.12572959,0.260358313,0.304373806,0.253689299,0.064289296,1.047568744,0.026409296
16S_1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015472113,0.120842537,0,0,0.014938592,0,0.090165071,0.011470704
16S_1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012004225,0.109905353,0,0,0.009870141,0,0.092565917,0.006935775
16S_112,0.016539155,0,0.080561691,0,0,0,0.027209578,0.070958311,0.015738873,0.019740282,0.041081127,0.020540564,0.036012676,0.017872958,0.004001408,0.180330143,0.238750707,1.036898322,0.211541129,0.283299722,0.230214369,0.060021127,0.97500987,0.028009859
16S_1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018139719,0.09896817,0,0,0.009069859,0,0.082429015,0.009870141
16S_1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013338028,0.120042255,0,0,0.007202535,0,0.07069155,0.008803099
16S_117,0.011203944,0,0.086697184,0,0,0,0.031210986,0.075760001,0.014938592,0.014405071,0.040280846,0,0.038413522,0.022407888,0.005335211,0.207539721,0.262492397,0.97981156,0.210207326,0.252355496,0.238750707,0.059487606,0.96567325,0.01867324
16S_1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010937183,0.122709861,0,0,0.015205352,0,0.08482986,0.014671831
16S_1223,0,0.008002817,0.013338028,0.011737465,0,0,0,0.012004225,0.022941409,0.018406479,0,0,0.024275212,0.01413831,0,0,0,0,0,0,0,0,0,0
16S_125,0.014671831,0,0.0845631,0,0,0,0.025875775,0.090431832,0.00933662,0.01413831,0.040814367,0,0.038680282,0.020273803,0.004001408,0.177929298,0.264359721,0.900583672,0.187265918,0.239284228,0.221944791,0.050150986,0.926192686,0.033878592
16S_1269,0,0,0.01413831,0.012004225,0,0.022674648,0,0,0.036012676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16S_1272,0.022674648,0.008269578,0.011203944,0.011203944,0,0.020807324,0,0.014938592,0.010136902,0,0,0,0.04721662,0.015205352,0,0,0,0,0,0,0,0,0,0
16S_1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012804507,0.081361973,0,0,0.005335211,0,0.082429015,0.001867324
16S_1312,0,0.010937183,0.00960338,0.015205352,0,0.030143944,0,0.011203944,0.019473521,0,0,0,0.03788,0.007736056,0,0,0,0,0,0,0,0,0,0
16S_1331,0,0,0.010937183,0.005335211,0,0.018139719,0,0,0.036546198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16S_1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005335211,0,0.014405071,0,0,0.012804507,0,0,0.014938592,0
16S_147,0.011203944,0,0.076026761,0,0,0,0.019473521,0.054685916,0.014671831,0.012270986,0.028810141,0,0.032544789,0.020273803,0.004268169,0.151253241,0.227013242,0.786143389,0.154721129,0.199803664,0.178729579,0.042148169,0.773338882,0.024275212
16S_152,0.014405071,0,0.057086761,0.007469296,0,0,0.021340845,0.042148169,0.013338028,0.014405071,0.027209578,0,0.036546198,0.017072676,0.007469296,0.148052114,0.19766958,0.766669868,0.154187607,0.192067608,0.159256058,0.03788,0.722120853,0.024008451
16S_1523,0,0,0,0,0,0,0,0,0,0,0,0.014671831,0.02347493,0,0,0.013604789,0.018406479,0,0.011737465,0.005068451,0.013071268,0.025075493,0.008002817,0.017872958
16S_156,0.00933662,0,0.060287888,0,0,0,0.020273803,0.067490423,0.010937183,0.009870141,0.026409296,0,0.024808733,0.019473521,0.002934366,0.124843945,0.193401411,0.759734093,0.166191833,0.207806481,0.173127608,0.040280846,0.755732685,0.01894
16S_1588,0,0,0,0,0,0,0,0,0,0,0,0.018406479,0,0,0,0.002400845,0,0.019206761,0,0.013071268,0,0,0.022941409,0
16S_162,0.014671831,0,0.066423381,0,0,0,0.021874366,0.05175155,0.008803099,0.012537747,0.03281155,0,0.025875775,0.014938592,0.004001408,0.122709861,0.175528453,0.72078705,0.133380283,0.172860847,0.165391551,0.038413522,0.678638881,0.021340845
16S_1622,0,0.006935775,0.01867324,0.010670423,0,0,0,0.008002817,0.014405071,0.010937183,0,0,0,0.009870141,0,0,0,0,0,0,0,0,0,0
16S_1654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032011268,0,0,0.033611831,0,0.012537747,0.020007042,0.021074085,0
16S_167,0.017339437,0,0.05655324,0.006669014,0,0,0.022407888,0.049884226,0.00933662,0.011203944,0.016005634,0,0.035479155,0.012804507,0.008803099,0.142450142,0.186732396,0.691976909,0.128311832,0.184064791,0.175261692,0.033345071,0.691976909,0.021340845
16S_17,2.403245943,2.120746503,1.118260294,0.615950148,1.076645646,1.175347055,0.196869298,1.055304801,1.650714385,0.336918595,0.12697803,0.407610145,0.487104794,0.799481417,0.072825635,0.062155212,0.340920004,0.233949017,0.504710992,0.225679439,0.375598877,0.769070713,0.326781694,0.336651835
16S_172,0.011737465,0,0.047750141,0,0,0,0.01894,0.055752958,0.007202535,0.006669014,0.031744507,0,0.034412113,0.01867324,0.003734648,0.131246199,0.173927889,0.66876874,0.172860847,0.170726762,0.159789579,0.038413522,0.646094092,0.017072676
16S_1770,0.01894,0,0,0,0,0.00960338,0.022141127,0,0.02827662,0,0,0.00480169,0,0.013338028,0,0,0,0,0,0,0,0,0,0
16S_178,0.00960338,0,0.053885634,0,0,0,0.014671831,0.048016902,0.005601972,0.010670423,0.022407888,0,0.022407888,0.021874366,0.003734648,0.119775494,0.159522819,0.646894373,0.138448734,0.152053523,0.141649861,0.039480564,0.634356627,0.013604789
16S_179,0.013604789,0,0.048817184,0,0,0,0.015472113,0.042948451,0.006135493,0.012537747,0.024808733,0,0.026942817,0.01413831,0.002667606,0.119508734,0.165124791,0.636490711,0.13204648,0.174994932,0.131246199,0.034678874,0.581804795,0.018406479
16S_18,2.79298313,1.877460866,1.042233533,0.547659443,0.931527898,1.062507336,0.194468453,0.918723391,1.511465369,0.298238313,0.105637184,0.327581976,0.463896625,0.681306487,0.065623099,0.074159437,0.292369581,0.223545355,0.433752681,0.171260284,0.341186764,0.715451839,0.263292679,0.338785919
16S_1824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005868732,0,0.008269578,0,0,0.011737465,0,0,0.00933662,0
