"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"16S_9959",0,NA,NA,NA,NA,NA,"Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae",NA,NA
"16S_9441",0,NA,NA,NA,NA,NA,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Collierbacteria",NA,NA,NA
"16S_9969",0.0364910352621697,0.132390647955806,3.03762819068271,0.0435835591603628,0.965236357133588,NA,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Collierbacteria",NA,NA,NA
"16S_7970",0,NA,NA,NA,NA,NA,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Collierbacteria",NA,NA,NA
"16S_9415",0,NA,NA,NA,NA,NA,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Collierbacteria",NA,NA,NA
"16S_6702",0.232640796874708,-1.28998218958261,3.02356248468994,-0.426643139050224,0.669639271772468,NA,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Collierbacteria",NA,NA,NA
"16S_7698",0,0,0,0,1,NA,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Collierbacteria",NA,NA,NA
"16S_8393",0.335933957993197,-1.83255126565925,3.00395486690367,-0.610046204704851,0.541831200644269,NA,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Collierbacteria",NA,NA,NA
"16S_10049",0,NA,NA,NA,NA,NA,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Chisholmbacteria",NA,NA,NA
"16S_8999",0,NA,NA,NA,NA,NA,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Chisholmbacteria",NA,NA,NA
"16S_9695",0.139584478124825,-0.508798117523476,3.03762819068271,-0.167498484206891,0.866977840109316,NA,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Pacebacteria",NA,NA,NA
"16S_10040",0.0831444254393991,-0.188203734783835,3.03762819068271,-0.0619574625232643,0.950596706873555,NA,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Pacebacteria",NA,NA,NA
"16S_3187",2.30597349594094,4.92404402318857,2.73980768210601,1.79722250410058,0.0723003032784485,NA,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Pacebacteria",NA,NA,NA
"16S_5959",0.667051192554786,3.20544070593355,2.99703055641351,1.06953888043419,0.284826918996834,NA,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Pacebacteria",NA,NA,NA
"16S_8677",0.332577701757597,-1.81887486551083,3.00436532118208,-0.605410684475343,0.544906153542865,NA,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Pacebacteria",NA,NA,NA
"16S_9296",0,NA,NA,NA,NA,NA,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Pacebacteria",NA,NA,NA
"16S_1803",11.3676728795404,0.810922596724022,2.58175581130689,0.314097326002931,0.75344712038145,0.903811432431685,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Pacebacteria",NA,NA,NA
"16S_2042",0,NA,NA,NA,NA,NA,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Pacebacteria",NA,NA,NA
