"","OTU","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"16S_1","16S_1",12665,13638,34907,13845,28707,6154,19821,13815,26957,26014,23604,15889,13861,13097,32686,15919,24461,5863,20809,65952,16991,11010,20583,21436,19708,7210,17265,10359,17818,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_2","16S_2",13887,14450,36445,14240,30247,5839,18340,13036,24599,23669,22467,14973,13232,12335,30382,14982,22273,5758,19182,61353,16295,10084,18479,19511,17181,6567,16179,9393,16556,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_3","16S_3",14684,15491,40285,15614,33093,6791,18141,12512,23251,22795,20774,13970,12414,11502,29757,14038,21045,5382,18570,58983,15721,9898,18465,19216,16726,6493,15501,8801,15856,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_4","16S_4",16284,16927,43217,16805,35900,6759,16852,11812,21985,21590,19807,13470,12199,11228,28753,13452,19924,5261,17735,56070,15459,9347,16955,18043,15257,6008,14850,8708,14935,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_5","16S_5",9418,9956,24951,10059,21063,4443,14214,10004,18341,17582,16194,11078,9826,9167,22391,11323,17251,4372,14444,45638,12462,7738,14103,14756,13440,4840,12070,7295,12364,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_6","16S_6",11643,12076,30571,12113,25912,5418,13080,8946,16552,15673,14778,9997,9154,8542,21176,10166,15100,3995,13340,41816,11576,7516,13100,13699,11639,4475,11143,6509,11476,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_7","16S_7",12549,13129,32869,12907,28128,5537,12212,8736,15285,15243,14162,9625,8972,8143,20411,9833,14048,3875,12606,39837,11307,7029,12011,12940,10717,4221,10516,6238,11021,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_8","16S_8",8769,9046,23515,9539,19570,4202,12992,9191,17275,16597,15604,10541,9100,8771,21661,10370,16081,3996,13408,42968,11504,7313,13581,14108,12681,4685,11418,6523,11521,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_9","16S_9",10497,10567,25910,10485,22119,4483,12844,9108,16828,16093,15008,10129,9461,8692,20999,10400,15482,4038,13456,42249,11644,7145,12665,13713,12233,4569,11015,6566,11727,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_10","16S_10",10513,11028,28058,11381,23591,4827,12027,8367,15041,14685,13790,9191,8368,7750,19900,9340,13943,3622,12416,38672,10643,6769,12338,12881,10993,4098,10323,6098,10526,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_11","16S_11",9379,9515,24178,9612,20688,4016,11580,8347,15516,15102,13938,9414,8473,7999,19603,9480,14091,3658,12341,38882,10662,6718,11698,12580,11128,4288,10314,6162,10571,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_12","16S_12",11286,11626,29654,11772,25158,4875,11144,7992,14043,14015,12622,8562,8041,7408,18733,8756,12853,3458,11647,36220,10161,6254,11045,11639,10012,3881,9579,5588,9886,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_13","16S_13",6206,6257,15627,6423,13550,2847,6999,4896,8422,8291,7747,5160,4826,4515,11485,5217,7873,2212,7042,21870,6163,3939,6733,7222,6143,2334,5920,3419,6208,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_14","16S_14",6803,6770,16713,6770,14736,2808,6497,4798,7916,8070,7398,5124,4819,4245,11112,4960,7460,2149,6872,21224,6106,3731,6383,6880,5687,2291,5450,3269,5862,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_15","16S_15",4492,4689,11952,4787,9894,2147,6342,4640,8070,7677,7381,4891,4330,4135,10328,5108,7609,2011,6690,20140,5759,3624,6502,6823,6093,2236,5487,3199,5649,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_16","16S_16",4866,4971,12254,5014,10769,2106,5955,4407,7663,7446,6861,4646,4364,3859,9581,4701,7083,1959,6168,19210,5594,3471,5866,6364,5368,2120,5237,3064,5419,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_17","16S_17",3705,3472,1513,4613,2388,7228,6917,3810,2067,3794,4393,663,2806,4571,1481,346,1516,979,2449,502,194,881,822,1541,672,738,2309,792,822,"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","Marine Methylotrophic Group 3",NA
"16S_18","16S_18",4611,4129,1973,5586,2977,8514,6093,3633,1813,3328,3934,634,2508,4268,1405,277,1320,903,2172,456,213,843,767,1330,502,623,2058,655,807,"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","Marine Methylotrophic Group 3",NA
"16S_19","16S_19",4288,3930,1802,5377,2662,8214,6255,3553,1884,3472,4073,695,2563,4229,1343,295,1386,903,2122,432,195,803,812,1338,579,635,2064,751,783,"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae",NA,NA
"16S_20","16S_20",3879,3539,1676,4679,2498,7260,6393,3719,1826,3582,4126,710,2632,4449,1420,327,1411,925,2241,459,227,893,782,1464,611,657,2039,721,787,"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae",NA,NA
"16S_21","16S_21",3648,3320,1533,4371,2359,6354,4265,2677,1267,2454,2830,481,1937,3039,1024,183,1021,641,1585,322,159,614,560,952,382,480,1430,515,552,"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","Marine Methylotrophic Group 3",NA
"16S_22","16S_22",2887,2570,1166,3465,1718,5370,5002,2855,1542,2759,3164,518,2068,3396,1163,233,1194,670,1719,378,126,656,583,1138,485,538,1660,627,677,"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","Marine Methylotrophic Group 3",NA
"16S_23","16S_23",2983,2639,1212,3696,1826,5120,4482,2783,1359,2567,2957,487,1925,3131,1044,209,1070,670,1676,325,152,645,585,1020,463,461,1431,570,591,"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","Marine Methylotrophic Group 3",NA
"16S_24","16S_24",3167,2777,1311,3845,2078,5881,4151,2557,1275,2415,2691,432,1729,2872,927,204,981,603,1451,309,139,559,531,1010,416,420,1456,518,575,"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","Marine Methylotrophic Group 3",NA
"16S_25","16S_25",2620,2409,1139,3209,1676,4979,4408,2611,1342,2630,2921,431,1884,3160,1046,240,1051,706,1655,325,153,634,573,1079,475,495,1515,569,588,"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","Marine Methylotrophic Group 3",NA
"16S_26","16S_26",3390,3050,1347,4033,2122,5980,3992,2438,1152,2182,2532,438,1777,2759,906,206,896,543,1468,290,157,557,505,921,389,406,1321,507,521,"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","Marine Methylotrophic Group 3",NA
"16S_27","16S_27",2754,2365,1190,3238,1720,4867,4176,2329,1216,2403,2681,484,1706,2867,950,198,994,611,1470,330,154,586,567,1001,405,469,1391,573,536,"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","Marine Methylotrophic Group 3",NA
"16S_28","16S_28",2052,1195,1631,749,647,888,750,4569,1155,1621,1663,1820,1619,1032,1017,595,2737,1358,713,149,276,358,352,397,1200,374,1322,811,684,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_29","16S_29",2333,1413,1893,871,702,955,745,4089,1008,1561,1578,1779,1472,981,944,514,2443,1227,666,124,233,365,358,417,1087,307,1136,720,618,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_30","16S_30",2042,1238,1579,752,690,909,675,4056,964,1539,1521,1622,1396,949,952,481,2494,1207,624,151,235,332,327,389,1038,274,1187,679,589,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
